productid,productcode,productname,sku,rate,isactive
1,A1,leverage holistic communities,4KG,275,True
2,A2,deploy intuitive functionalities,4KG,806,False
3,A3,benchmark sticky metrics,2KG,798,True
4,A4,embrace customized supply-chains,5KG,489,False
5,A5,matrix virtual e-commerce,5KG,502,False
6,A6,deliver magnetic initiatives,1KG,565,True
7,A7,re-intermediate frictionless solutions,1KG,726,False
8,A8,extend viral partnerships,5KG,104,True
9,A9,target bleeding-edge eyeballs,2KG,534,False
10,A10,optimize collaborative synergies,2KG,333,False
11,A11,incubate cross-media action-items,2KG,169,False
12,A12,iterate end-to-end supply-chains,2KG,336,False
13,A13,facilitate cross-media functionalities,4KG,892,False
14,A14,utilize distributed relationships,3KG,203,False
15,A15,leverage one-to-one web services,5KG,283,False
16,A16,mesh virtual architectures,2KG,864,False
17,A17,architect open-source interfaces,4KG,390,False
18,A18,disintermediate best-of-breed portals,4KG,526,False
19,A19,brand front-end vortals,3KG,690,False
20,A20,monetize next-generation communities,5KG,522,True
21,A21,engage granular channels,1KG,315,False
22,A22,streamline cross-media schemas,2KG,713,False
23,A23,engage wireless synergies,4KG,474,True
24,A24,embrace real-time experiences,5KG,447,False
25,A25,engineer transparent content,2KG,984,True
26,A26,leverage end-to-end technologies,5KG,300,False
27,A27,iterate ubiquitous experiences,4KG,919,False
28,A28,reinvent dynamic action-items,4KG,741,False
29,A29,generate innovative channels,2KG,766,False
30,A30,orchestrate B2B networks,4KG,182,False
31,A31,mesh killer synergies,4KG,662,False
32,A32,monetize user-centric info-mediaries,3KG,164,True
33,A33,monetize extensible solutions,1KG,536,False
34,A34,monetize impactful models,1KG,814,True
35,A35,envisioneer plug-and-play functionalities,3KG,581,False
36,A36,productize one-to-one portals,4KG,967,False
37,A37,engage holistic platforms,3KG,980,True
38,A38,productize front-end markets,2KG,980,False
39,A39,grow compelling supply-chains,3KG,437,True
40,A40,re-contextualize clicks-and-mortar infrastructures,3KG,581,True
41,A41,facilitate B2C metrics,1KG,360,False
42,A42,monetize seamless synergies,4KG,331,False
43,A43,whiteboard virtual mindshare,1KG,720,True
44,A44,reinvent B2B markets,4KG,607,False
45,A45,iterate user-centric markets,5KG,308,False
46,A46,target revolutionary experiences,4KG,281,False
47,A47,evolve rich ROI,1KG,208,True
48,A48,drive next-generation e-business,4KG,715,False
49,A49,unleash holistic technologies,1KG,673,True
50,A50,streamline out-of-the-box e-tailers,2KG,642,True
